Category: All categories

Week,soledar: (Worldwide)
2022-02-20,<1
2022-02-27,0
2022-03-06,<1
2022-03-13,<1
2022-03-20,<1
2022-03-27,<1
2022-04-03,<1
2022-04-10,0
2022-04-17,<1
2022-04-24,<1
2022-05-01,<1
2022-05-08,<1
2022-05-15,1
2022-05-22,<1
2022-05-29,<1
2022-06-05,<1
2022-06-12,<1
2022-06-19,<1
2022-06-26,<1
2022-07-03,<1
2022-07-10,1
2022-07-17,<1
2022-07-24,1
2022-07-31,1
2022-08-07,2
2022-08-14,1
2022-08-21,1
2022-08-28,1
2022-09-04,1
2022-09-11,1
2022-09-18,<1
2022-09-25,<1
2022-10-02,<1
2022-10-09,<1
2022-10-16,1
2022-10-23,<1
2022-10-30,<1
2022-11-06,<1
2022-11-13,<1
2022-11-20,<1
2022-11-27,<1
2022-12-04,<1
2022-12-11,<1
2022-12-18,1
2022-12-25,1
2023-01-01,6
2023-01-08,100
2023-01-15,27
2023-01-22,9
2023-01-29,3
2023-02-05,2
2023-02-12,1
2023-02-19,1
2023-02-26,1
2023-03-05,1
2023-03-12,1
2023-03-19,1
2023-03-26,1
2023-04-02,<1
2023-04-09,<1
2023-04-16,<1
2023-04-23,<1
2023-04-30,1
2023-05-07,2
2023-05-14,1
2023-05-21,1
2023-05-28,<1
2023-06-04,<1
2023-06-11,<1
2023-06-18,<1
2023-06-25,1
2023-07-02,<1
2023-07-09,<1
2023-07-16,<1
