Category: All categories

Week,siversk: (Worldwide)
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,2
2022-03-20,0
2022-03-27,2
2022-04-03,2
2022-04-10,0
2022-04-17,2
2022-04-24,0
2022-05-01,3
2022-05-08,6
2022-05-15,2
2022-05-22,3
2022-05-29,6
2022-06-05,5
2022-06-12,2
2022-06-19,2
2022-06-26,14
2022-07-03,74
2022-07-10,100
2022-07-17,60
2022-07-24,23
2022-07-31,9
2022-08-07,13
2022-08-14,10
2022-08-21,8
2022-08-28,5
2022-09-04,12
2022-09-11,13
2022-09-18,4
2022-09-25,6
2022-10-02,3
2022-10-09,5
2022-10-16,3
2022-10-23,3
2022-10-30,0
2022-11-06,4
2022-11-13,3
2022-11-20,0
2022-11-27,2
2022-12-04,3
2022-12-11,0
2022-12-18,0
2022-12-25,2
2023-01-01,3
2023-01-08,10
2023-01-15,15
2023-01-22,4
2023-01-29,3
2023-02-05,5
2023-02-12,0
2023-02-19,5
2023-02-26,6
2023-03-05,4
2023-03-12,4
2023-03-19,0
2023-03-26,0
2023-04-02,3
2023-04-09,0
2023-04-16,3
2023-04-23,2
2023-04-30,2
2023-05-07,0
2023-05-14,3
2023-05-21,0
2023-05-28,3
2023-06-04,0
2023-06-11,2
2023-06-18,3
2023-06-25,3
2023-07-02,0
2023-07-09,6
2023-07-16,5
