Category: All categories

Week,Dovhen'ke: (Worldwide)
2022-02-20,0
2022-02-27,0
2022-03-06,3
2022-03-13,3
2022-03-20,9
2022-03-27,7
2022-04-03,16
2022-04-10,23
2022-04-17,31
2022-04-24,23
2022-05-01,20
2022-05-08,51
2022-05-15,100
2022-05-22,31
2022-05-29,47
2022-06-05,36
2022-06-12,19
2022-06-19,21
2022-06-26,13
2022-07-03,9
2022-07-10,16
2022-07-17,4
2022-07-24,3
2022-07-31,12
2022-08-07,44
2022-08-14,10
2022-08-21,5
2022-08-28,5
2022-09-04,52
2022-09-11,5
2022-09-18,8
2022-09-25,4
2022-10-02,6
2022-10-09,6
2022-10-16,0
2022-10-23,0
2022-10-30,4
2022-11-06,0
2022-11-13,4
2022-11-20,0
2022-11-27,4
2022-12-04,4
2022-12-11,0
2022-12-18,0
2022-12-25,9
2023-01-01,4
2023-01-08,7
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,5
2023-03-12,8
2023-03-19,4
2023-03-26,4
2023-04-02,0
2023-04-09,2
2023-04-16,3
2023-04-23,3
2023-04-30,0
2023-05-07,3
2023-05-14,0
2023-05-21,0
2023-05-28,5
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,5
2023-07-09,0
2023-07-16,8
2023-07-23,9
